Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: main,[SHORT-BRIEF]: Starting Program
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Load,[SHORT-BRIEF]: Loading casino from file
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: main,[SHORT-BRIEF]: Casino Loaded Successfully
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: ReadPeopleFile,[SHORT-BRIEF]:  Success Loading 10000 users 
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->61; [TYPE]->5;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->18,2;[winProbability]->0.550000;[Failures]->0;[betAmount]->1173.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->13; [TYPE]->5;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->4,1;[winProbability]->0.400000;[Failures]->0;[betAmount]->2091.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->1; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->19.500000;[X,Y]->1,1;[winProbability]->0.100000;[Failures]->0;[betAmount]->0.000000;[usage]->3
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->58; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->16,3;[winProbability]->0.100000;[Failures]->0;[betAmount]->787.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->63; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->20.000000;[X,Y]->18,4;[winProbability]->0.400000;[Failures]->0;[betAmount]->0.000000;[usage]->4
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->27; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->7,3;[winProbability]->0.550000;[Failures]->0;[betAmount]->0.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->6; [TYPE]->5;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->2,2;[winProbability]->0.250000;[Failures]->0;[betAmount]->419.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->7; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->20.000000;[X,Y]->2,3;[winProbability]->0.100000;[Failures]->0;[betAmount]->0.000000;[usage]->4
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->8; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->20.000000;[X,Y]->2,4;[winProbability]->0.250000;[Failures]->0;[betAmount]->4939.000000;[usage]->4
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->5; [TYPE]->6;		[STATE]->BROKEN;[TEMPERATURE]->19.000000;[X,Y]->2,1;[winProbability]->0.400000;[Failures]->0;[betAmount]->942.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->32; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->8,4;[winProbability]->0.100000;[Failures]->0;[betAmount]->2895.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->23; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->19.500000;[X,Y]->6,3;[winProbability]->0.250000;[Failures]->0;[betAmount]->0.000000;[usage]->3
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->14; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->19.500000;[X,Y]->4,2;[winProbability]->0.250000;[Failures]->0;[betAmount]->1304.000000;[usage]->3
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->23; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->20.000000;[X,Y]->6,3;[winProbability]->0.250000;[Failures]->0;[betAmount]->0.000000;[usage]->4
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->28; [TYPE]->1;		[STATE]->ON;[TEMPERATURE]->20.500000;[X,Y]->7,4;[winProbability]->0.400000;[Failures]->0;[betAmount]->120.000000;[usage]->5
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->27; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->19.500000;[X,Y]->7,3;[winProbability]->0.550000;[Failures]->0;[betAmount]->0.000000;[usage]->3
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->15; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->4,3;[winProbability]->0.250000;[Failures]->0;[betAmount]->0.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->23; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->20.500000;[X,Y]->6,3;[winProbability]->0.250000;[Failures]->0;[betAmount]->0.000000;[usage]->5
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->1; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->20.000000;[X,Y]->1,1;[winProbability]->0.100000;[Failures]->0;[betAmount]->0.000000;[usage]->4
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->58; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->19.500000;[X,Y]->16,3;[winProbability]->0.100000;[Failures]->0;[betAmount]->2961.000000;[usage]->3
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->17; [TYPE]->5;		[STATE]->ON;[TEMPERATURE]->18.500000;[X,Y]->5,1;[winProbability]->0.250000;[Failures]->0;[betAmount]->1783.000000;[usage]->1
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->63; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->20.500000;[X,Y]->18,4;[winProbability]->0.400000;[Failures]->0;[betAmount]->0.000000;[usage]->5
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->9; [TYPE]->5;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->3,1;[winProbability]->0.550000;[Failures]->0;[betAmount]->3531.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->31; [TYPE]->4;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->8,3;[winProbability]->0.400000;[Failures]->0;[betAmount]->0.000000;[usage]->2
Jan 25 2024,15:06:24,[EXECUTING_FUNCTION]: Run,[SHORT-BRIEF]: [ID]->18; [TYPE]->6;		[STATE]->ON;[TEMPERATURE]->19.000000;[X,Y]->5,2;[winProbability]->0.700000;[Failures]->0;[betAmount]->1026.000000;[usage]->2
